latitude,longitude,datetime,value
24.532312,118.130148,08-Sep-2016 06:00:00,2.747478
24.532312,118.130148,26-Sep-2016 06:00:00,2.591282
24.532312,118.132115,14-Sep-2016 17:30:00,1.026357
24.532312,118.185226,18-Sep-2016 00:30:00,4.958434
24.532312,118.185226,18-Sep-2016 13:30:00,6.101086
24.531414,118.102609,13-Sep-2016 22:00:00,1.951515
24.531414,118.113428,19-Sep-2016 21:00:00,4.477402
24.531414,118.113428,21-Sep-2016 15:30:00,7.778725
24.531414,118.116379,16-Sep-2016 05:00:00,1.367382
24.531414,118.116379,30-Sep-2016 19:30:00,0.116767
24.531414,118.128181,15-Sep-2016 18:00:00,2.878228
24.531414,118.128181,16-Sep-2016 07:30:00,4.021517
24.531414,118.128181,16-Sep-2016 08:00:00,4.841516
24.531414,118.129165,15-Sep-2016 13:00:00,0.445566
24.531414,118.129165,16-Sep-2016 08:00:00,0.142951
24.531414,118.134082,30-Sep-2016 16:00:00,1.191088
24.531414,118.145885,27-Sep-2016 00:30:00,0.864525
24.531414,118.149819,24-Sep-2016 17:30:00,4.099159
24.531414,118.185226,18-Sep-2016 12:30:00,4.028104
24.530517,118.095724,04-Sep-2016 20:30:00,0.831563
24.530517,118.095724,28-Sep-2016 19:00:00,0.591743
24.530517,118.100642,08-Sep-2016 13:00:00,3.875474
24.530517,118.100642,13-Sep-2016 09:00:00,0.053801
24.530517,118.100642,30-Sep-2016 19:00:00,1.756698
24.530517,118.102609,04-Sep-2016 20:30:00,1.372622
24.530517,118.102609,13-Sep-2016 21:00:00,0.247440
24.530517,118.118346,30-Sep-2016 19:30:00,3.909600
24.530517,118.127198,16-Sep-2016 08:00:00,7.061779
24.530517,118.127198,20-Sep-2016 05:30:00,0.351198
24.530517,118.133099,05-Sep-2016 17:00:00,8.202836
24.530517,118.133099,06-Sep-2016 07:00:00,0.403657
24.530517,118.134082,05-Sep-2016 17:00:00,1.068316
24.529619,118.100642,17-Sep-2016 01:30:00,3.364109
24.529619,118.100642,17-Sep-2016 02:00:00,1.020816
24.529619,118.100642,17-Sep-2016 05:00:00,8.409875
24.529619,118.102609,13-Sep-2016 09:30:00,0.261428
24.529619,118.119329,30-Sep-2016 19:30:00,4.097446
24.529619,118.120313,30-Sep-2016 19:30:00,5.162030
24.529619,118.125231,10-Sep-2016 13:00:00,3.917739
24.529619,118.125231,16-Sep-2016 07:30:00,2.693360
24.529619,118.126214,10-Sep-2016 13:00:00,3.790063
24.529619,118.126214,15-Sep-2016 13:00:00,4.831540
24.529619,118.126214,16-Sep-2016 08:00:00,4.187790
24.529619,118.126214,16-Sep-2016 08:30:00,2.689353
24.529619,118.134082,06-Sep-2016 17:30:00,4.693073
24.529619,118.149819,01-Sep-2016 05:30:00,0.237857
24.529619,118.149819,17-Sep-2016 22:30:00,1.748526
24.529619,118.150802,17-Sep-2016 09:30:00,2.209798
24.529619,118.150802,21-Sep-2016 17:00:00,1.661265
24.529619,118.150802,23-Sep-2016 17:30:00,6.000527
24.529619,118.150802,26-Sep-2016 14:30:00,2.853007
24.529619,118.181292,29-Sep-2016 06:30:00,2.821992
24.528722,118.096708,17-Sep-2016 02:00:00,0.677981
24.528722,118.096708,18-Sep-2016 05:00:00,2.075536
24.528722,118.096708,19-Sep-2016 20:30:00,2.173776
24.528722,118.096708,19-Sep-2016 23:30:00,10.057604
24.528722,118.096708,20-Sep-2016 12:00:00,7.755780
24.528722,118.097691,17-Sep-2016 07:00:00,4.163571
24.528722,118.097691,18-Sep-2016 03:00:00,0.351758
24.528722,118.097691,18-Sep-2016 04:00:00,10.391405
24.528722,118.097691,18-Sep-2016 04:30:00,0.488852
24.528722,118.097691,19-Sep-2016 02:30:00,4.090591
24.528722,118.097691,19-Sep-2016 04:00:00,10.734452
24.528722,118.097691,19-Sep-2016 21:30:00,5.656341
24.528722,118.097691,19-Sep-2016 22:30:00,2.931749
24.528722,118.099659,17-Sep-2016 01:00:00,0.653786
24.528722,118.099659,17-Sep-2016 02:30:00,2.754634
24.528722,118.099659,17-Sep-2016 05:00:00,2.447262
24.528722,118.099659,17-Sep-2016 05:30:00,2.675039
24.528722,118.099659,17-Sep-2016 06:30:00,0.787196
24.528722,118.099659,17-Sep-2016 23:30:00,2.579729
24.528722,118.099659,18-Sep-2016 13:00:00,2.184434
24.528722,118.099659,19-Sep-2016 13:00:00,0.843473
24.528722,118.099659,19-Sep-2016 14:30:00,4.182229
24.528722,118.100642,17-Sep-2016 03:30:00,0.327819
24.528722,118.103593,27-Sep-2016 23:00:00,0.140683
24.528722,118.103593,28-Sep-2016 17:00:00,1.234497
24.528722,118.112445,19-Sep-2016 21:30:00,1.060992
24.528722,118.122280,22-Sep-2016 14:00:00,0.325652
24.528722,118.125231,10-Sep-2016 13:00:00,6.482502
